date,country,Anmeldungen in Deutschland,Vorhersage
2011-01-31,Italien,91.10671936758892,
2011-04-30,Italien,120.7345191040843,
2011-07-31,Italien,113.5540184453228,
2011-10-31,Italien,156.63702239789197,
2012-01-31,Italien,119.07114624505928,117.75755284012916
2012-04-30,Italien,159.33794466403162,158.16309446956058
2012-07-31,Italien,161.79183135704872,151.1773057293125
2012-10-31,Italien,227.1080368906456,227.64028894574327
2013-01-31,Italien,169.07114624505928,173.2641416424451
2013-04-30,Italien,222.08498023715416,224.6046584353183
2013-07-31,Italien,226.13636363636363,222.70498383282165
2013-10-31,Italien,294.828722002635,297.9681859199835
2014-01-31,Italien,225.72463768115944,221.72331019933762
2014-04-30,Italien,292.55599472990775,284.14919607024547
2014-07-31,Italien,269.8451910408432,284.899299916146
2014-10-31,Italien,348.84716732542825,340.24606573068814
2015-01-31,Italien,256.0441370223979,254.1120105771546
2015-04-30,Italien,311.97299077733857,309.43484053720965
2015-07-31,Italien,282.3451910408432,278.20245042438785
2015-10-31,Italien,348.9130434782609,353.2749594551902
2016-01-31,Italien,230.368906455863,239.08853222685894
2016-04-30,Italien,268.62648221343875,278.317914787905
2016-07-31,Italien,233.05335968379447,246.06790412752684
2016-10-31,Italien,309.17325428194994,303.649629687682
2017-01-31,Italien,216.699604743083,211.23415984091966
2017-04-30,Italien,256.6040843214756,253.8834310007933
2017-07-31,Italien,233.99209486166006,226.83270979027955
2017-10-31,Italien,301.4492753623189,304.2893886466076
2018-01-31,Italien,213.965744400527,211.60729107202138
2018-04-30,Italien,265.84321475625825,255.21325066748557
2018-07-31,Italien,235.34255599472988,238.53782998846307
2018-10-31,Italien,318.2806324110672,300.08380919647595
2019-01-31,Italien,218.14888010540182,221.22425363616932
2019-04-30,Italien,271.096837944664,264.51106692519477
2019-07-31,Italien,225.64229249011856,235.4550011257232
2019-10-31,Italien,295.4710144927536,309.7348209643408
2011-01-31,Spanien,85.35652695508735,
2011-04-30,Spanien,111.20941741021217,
2011-07-31,Spanien,119.48714103621502,
2011-10-31,Spanien,257.8091024968134,
2012-01-31,Spanien,151.308390192697,131.57331072538244
2012-04-30,Spanien,168.7635900127465,166.5816952811896
2012-07-31,Spanien,189.78780835270302,165.91653913897753
2012-10-31,Spanien,362.8102271875234,341.3362342176102
2013-01-31,Spanien,203.31408862562793,191.24927749078452
2013-04-30,Spanien,237.77461198170502,208.71130153985686
2013-07-31,Spanien,253.4902901702032,243.2674637172889
2013-10-31,Spanien,396.3110144710205,414.7177672073754
2014-01-31,Spanien,212.40158956287019,210.48373946256143
2014-04-30,Spanien,222.80872759991004,237.52117842619893
2014-07-31,Spanien,254.71995201319638,233.65780006312485
2014-10-31,Spanien,349.19397165779407,369.31595375269967
2015-01-31,Spanien,187.2984929144485,189.17694800568628
2015-04-30,Spanien,188.61813001424608,195.47965887781348
2015-07-31,Spanien,223.01866986578688,221.05104904410635
2015-10-31,Spanien,315.3632750993477,318.9969129980573
2016-01-31,Spanien,157.87658393941666,165.8896123889987
2016-04-30,Spanien,161.20566844117866,164.8797407161964
2016-07-31,Spanien,183.84944140361398,193.7781606178501
2016-10-31,Spanien,293.28934543000673,285.2558764513964
2017-01-31,Spanien,150.76853865187076,146.2488228778063
2017-04-30,Spanien,137.66214291069957,153.1250378440545
2017-07-31,Spanien,143.51053460298417,160.4044596304224
2017-10-31,Spanien,255.2298118017545,252.4421787728723
2018-01-31,Spanien,129.89427907325486,133.32515986543584
2018-04-30,Spanien,141.56107070555595,122.64641827539064
2018-07-31,Spanien,141.20116967833843,139.3126994955705
2018-10-31,Spanien,257.5091849741321,257.57191896198566
2019-01-31,Spanien,138.14201094698956,135.4153478308143
2019-04-30,Spanien,151.18842318362448,146.65035546736613
2019-07-31,Spanien,143.4505510984479,152.98646113360036
2019-10-31,Spanien,250.43113143885432,261.68305266388836
2011-01-31,Portugal,82.70353302611367,
2011-04-30,Portugal,118.46390168970812,
2011-07-31,Portugal,120.18433179723502,
2011-10-31,Portugal,159.0168970814132,
2012-01-31,Portugal,126.82027649769584,115.66475899008508
2012-04-30,Portugal,187.9569892473118,174.96715134563962
2012-07-31,Portugal,180.5837173579109,179.23026697379368
2012-10-31,Portugal,212.9032258064516,216.04914607389674
2013-01-31,Portugal,160.92165898617512,162.10665132218674
2013-04-30,Portugal,232.9339477726575,225.53996683990545
2013-07-31,Portugal,212.78033794162826,209.24704948380457
2013-10-31,Portugal,228.57142857142856,230.53795777393051
2014-01-31,Portugal,160.18433179723502,165.4885674444168
2014-04-30,Portugal,175.48387096774195,203.01928367118464
2014-07-31,Portugal,173.4562211981567,181.13161604699292
2014-10-31,Portugal,192.5038402457757,194.9929833558847
2015-01-31,Portugal,132.90322580645162,135.13744005778233
2015-04-30,Portugal,160.30721966205837,155.69687640588575
2015-07-31,Portugal,144.39324116743472,155.00261961828826
2015-10-31,Portugal,184.33179723502303,176.77673117920807
2016-01-31,Portugal,113.73271889400922,121.2987307663369
2016-04-30,Portugal,152.31950844854072,148.2296015401625
2016-07-31,Portugal,126.0215053763441,132.1681271070894
2016-10-31,Portugal,173.27188940092165,171.45383365565803
2017-01-31,Portugal,109.6774193548387,106.99538783524775
2017-04-30,Portugal,147.7726574500768,148.83003486845786
2017-07-31,Portugal,114.59293394777265,122.52678805105622
2017-10-31,Portugal,145.62211981566819,155.74337372093458
2018-01-31,Portugal,97.32718894009217,94.67363774737407
2018-04-30,Portugal,130.69124423963135,131.38878988122343
2018-07-31,Portugal,105.74500768049155,106.10816928358635
2018-10-31,Portugal,144.76190476190476,140.68921984348356
2019-01-31,Portugal,101.01382488479263,95.81343069167781
2019-04-30,Portugal,126.08294930875576,136.31261226259787
2019-07-31,Portugal,109.61597542242703,109.42152995163377
2019-10-31,Portugal,130.01536098310294,148.78322519178488
2011-01-31,Griechenland,133.26370757180158,
2011-04-30,Griechenland,152.58485639686683,
2011-07-31,Griechenland,175.9442993907746,
2011-10-31,Griechenland,258.76414273281114,
2012-01-31,Griechenland,289.81723237597913,219.0216680362251
2012-04-30,Griechenland,271.053089643168,280.08199611028857
2012-07-31,Griechenland,296.5013054830287,283.97412376867635
2012-10-31,Griechenland,348.0243690165361,348.89027536152463
2013-01-31,Griechenland,280.3133159268929,312.50288983592793
2013-04-30,Griechenland,264.26457789382073,269.43310279774454
2013-07-31,Griechenland,264.2993907745866,275.6861782231623
2013-10-31,Griechenland,342.6631853785901,322.42856404377807
2014-01-31,Griechenland,283.41166231505656,271.1087336492041
2014-04-30,Griechenland,248.49434290687554,261.48659972910883
2014-07-31,Griechenland,237.35422106179286,256.41244878088116
2014-10-31,Griechenland,309.27763272410795,304.82376425844893
2015-01-31,Griechenland,264.0905134899913,255.68749315416386
2015-04-30,Griechenland,226.59704090513492,232.88549918859647
2015-07-31,Griechenland,239.51261966927765,224.06559192182405
2015-10-31,Griechenland,366.2315056570931,314.7642403193865
2016-01-31,Griechenland,284.3516100957354,287.95343952096067
2016-04-30,Griechenland,248.49434290687554,249.29873183251874
2016-07-31,Griechenland,224.64751958224545,248.02231617128717
2016-10-31,Griechenland,309.24281984334203,346.60817323155794
2017-01-31,Griechenland,260.6440382941688,260.593588416913
2017-04-30,Griechenland,226.49260226283724,230.01073003240703
2017-07-31,Griechenland,239.9651871192341,222.82005983566177
2017-10-31,Griechenland,311.2619669277633,308.62716401133093
2018-01-31,Griechenland,263.7423846823325,269.1652952977964
2018-04-30,Griechenland,231.12271540469976,233.22199399688083
2018-07-31,Griechenland,239.65187119234116,237.03070303435618
2018-10-31,Griechenland,316.97127937336813,310.0517958199031
2019-01-31,Griechenland,247.20626631853784,261.5326375556313
2019-04-30,Griechenland,231.4360313315927,226.0396955628864
2019-07-31,Griechenland,212.53263707571804,236.02468715138457
2019-10-31,Griechenland,272.3759791122716,295.58710189247716
