date,country,Anmeldungen in Deutschland,Google Trends Index
2010-01-01,Italien,82.65905383360523,82.71186440677964
2010-02-01,Italien,85.49755301794454,82.71186440677964
2010-03-01,Italien,121.95758564437193,85.42372881355932
2010-04-01,Italien,96.16639477977161,88.13559322033898
2010-05-01,Italien,78.35236541598695,95.59322033898304
2010-06-01,Italien,91.37030995106036,171.52542372881356
2010-07-01,Italien,91.22349102773246,186.44067796610167
2010-08-01,Italien,94.06199021207178,94.91525423728812
2010-09-01,Italien,136.9820554649266,80.0
2010-10-01,Italien,145.05709624796086,79.3220338983051
2010-11-01,Italien,107.61827079934747,76.61016949152541
2010-12-01,Italien,69.05383360522023,76.61016949152541
2011-01-01,Italien,94.06199021207178,77.28813559322033
2011-02-01,Italien,104.68189233278957,90.84745762711863
2011-03-01,Italien,136.9820554649266,77.28813559322033
2011-04-01,Italien,117.1125611745514,78.64406779661017
2011-05-01,Italien,114.56769983686787,82.03389830508473
2011-06-01,Italien,113.34420880913541,90.84745762711863
2011-07-01,Italien,109.5269168026101,89.49152542372882
2011-08-01,Italien,117.01468189233279,96.27118644067795
2011-09-01,Italien,167.0309951060359,90.16949152542372
2011-10-01,Italien,181.41924959216965,80.6779661016949
2011-11-01,Italien,125.33442088091356,84.7457627118644
2011-12-01,Italien,94.55138662316477,80.6779661016949
2012-01-01,Italien,133.9477977161501,84.06779661016948
2012-02-01,Italien,129.347471451876,82.03389830508473
2012-03-01,Italien,177.69983686786298,81.35593220338983
2012-04-01,Italien,166.4437194127243,90.16949152542372
2012-05-01,Italien,149.55954323001632,92.20338983050847
2012-06-01,Italien,165.36704730831974,280.0
2012-07-01,Italien,165.85644371941274,103.72881355932202
2012-08-01,Italien,165.7585644371941,95.59322033898304
2012-09-01,Italien,232.7569331158238,90.84745762711863
2012-10-01,Italien,276.3621533442088,83.38983050847459
2012-11-01,Italien,180.6851549755302,75.2542372881356
2012-12-01,Italien,119.85318107667212,71.86440677966101
2013-01-01,Italien,201.87601957585645,81.35593220338983
2013-02-01,Italien,180.92985318107668,80.0
2013-03-01,Italien,233.73572593800978,83.38983050847459
2013-04-01,Italien,245.28548123980426,87.45762711864406
2013-05-01,Italien,207.11256117455142,88.8135593220339
2013-06-01,Italien,227.66721044045676,87.45762711864406
2013-07-01,Italien,237.21044045677,103.05084745762711
2013-08-01,Italien,221.35399673735728,96.27118644067795
2013-09-01,Italien,322.56117455138667,100.33898305084745
2013-10-01,Italien,332.20228384991844,95.59322033898304
2013-11-01,Italien,238.58075040783032,109.83050847457628
2013-12-01,Italien,166.6394779771615,80.0
2014-01-01,Italien,265.54649265905385,90.16949152542372
2014-02-01,Italien,255.41598694942905,84.06779661016948
2014-03-01,Italien,319.8694942903752,88.8135593220339
2014-04-01,Italien,294.0783034257749,91.52542372881355
2014-05-01,Italien,242.8384991843393,95.59322033898304
2014-06-01,Italien,277.73246329526916,196.6101694915254
2014-07-01,Italien,281.30505709624794,453.55932203389824
2014-08-01,Italien,257.7650897226754,108.47457627118644
2014-09-01,Italien,397.5856443719413,102.37288135593221
2014-10-01,Italien,381.28874388254485,96.94915254237286
2014-11-01,Italien,266.7699836867863,94.91525423728812
2014-12-01,Italien,204.56769983686786,86.77966101694913
2015-01-01,Italien,289.5269168026101,93.55932203389831
2015-02-01,Italien,272.39804241435564,92.20338983050847
2015-03-01,Italien,348.1566068515498,94.91525423728812
2015-04-01,Italien,306.5089722675367,95.59322033898304
2015-05-01,Italien,254.1435562805873,94.91525423728812
2015-06-01,Italien,298.38499184339315,97.6271186440678
2015-07-01,Italien,286.4926590538336,103.72881355932202
2015-08-01,Italien,265.0570962479608,107.79661016949152
2015-09-01,Italien,393.9151712887439,118.64406779661016
2015-10-01,Italien,377.86296900489396,88.8135593220339
2015-11-01,Italien,240.0489396411093,101.69491525423729
2015-12-01,Italien,166.9331158238173,87.45762711864406
2016-01-01,Italien,277.58564437194127,96.94915254237286
2016-02-01,Italien,248.12398042414355,92.20338983050847
2016-03-01,Italien,277.19412724306693,134.23728813559322
2016-04-01,Italien,272.9363784665579,92.88135593220339
2016-05-01,Italien,230.163132137031,102.37288135593221
2016-06-01,Italien,237.60195758564439,242.71186440677965
2016-07-01,Italien,224.77977161500817,474.57627118644064
2016-08-01,Italien,239.7553017944535,112.54237288135593
2016-09-01,Italien,344.1924959216966,96.27118644067795
2016-10-01,Italien,334.7960848287113,98.3050847457627
2016-11-01,Italien,233.4910277324633,127.45762711864406
2016-12-01,Italien,171.92495921696576,89.49152542372882
2017-01-01,Italien,238.53181076672107,87.45762711864406
2017-02-01,Italien,239.46166394779772,90.84745762711863
2017-03-01,Italien,293.5889070146819,96.94915254237286
2017-04-01,Italien,229.47797716150086,98.3050847457627
2017-05-01,Italien,228.30342577487767,89.49152542372882
2017-06-01,Italien,232.12071778140296,151.1864406779661
2017-07-01,Italien,234.91027732463294,109.15254237288134
2017-08-01,Italien,237.79771615008158,112.54237288135593
2017-09-01,Italien,332.7406199021207,117.96610169491524
2017-10-01,Italien,325.2528548123981,92.88135593220339
2017-11-01,Italien,231.28874388254488,93.55932203389831
2017-12-01,Italien,169.03752039151715,79.3220338983051
2018-01-01,Italien,235.49755301794454,90.84745762711863
2018-02-01,Italien,241.02773246329528,88.13559322033898
2018-03-01,Italien,281.94127243066885,94.23728813559322
2018-04-01,Italien,267.0146818923328,98.98305084745762
2018-05-01,Italien,242.34910277324633,104.40677966101694
2018-06-01,Italien,230.0163132137031,256.9491525423729
2018-07-01,Italien,226.9820554649266,130.84745762711864
2018-08-01,Italien,237.0146818923328,94.91525423728812
2018-09-01,Italien,351.92495921696576,106.44067796610169
2018-10-01,Italien,356.86786296900493,109.83050847457628
2018-11-01,Italien,238.33605220228384,94.23728813559322
2018-12-01,Italien,161.15823817292008,80.6779661016949
2019-01-01,Italien,248.76019575856444,88.8135593220339
2019-02-01,Italien,251.54975530179448,81.35593220338983
2019-03-01,Italien,296.28058727569334,94.23728813559322
2019-04-01,Italien,257.7650897226754,87.45762711864406
2019-05-01,Italien,213.4257748776509,94.23728813559322
2019-06-01,Italien,227.6182707993475,120.0
2019-07-01,Italien,229.47797716150086,117.28813559322033
2019-08-01,Italien,225.70962479608485,95.59322033898304
2019-09-01,Italien,320.8972267536705,103.05084745762711
2019-10-01,Italien,331.4192495921697,100.33898305084745
2019-11-01,Italien,213.47471451876018,88.13559322033898
2019-12-01,Italien,156.94942903752042,73.89830508474576
2020-01-01,Italien,,88.8135593220339
2020-02-01,Italien,,122.71186440677965
2020-03-01,Italien,,254.91525423728817
2020-04-01,Italien,,180.33898305084745
2020-05-01,Italien,,128.81355932203388
2020-06-01,Italien,,113.89830508474574
2020-07-01,Italien,,88.8135593220339
2020-08-01,Italien,,122.71186440677965
2020-09-01,Italien,,116.61016949152543
2020-10-01,Italien,,133.5593220338983
2020-11-01,Italien,,105.76271186440678
2020-12-01,Italien,,124.74576271186439
